,id,home_label,home_lat,home_lon,state
599253,7589400.0,8a274e31495ffff,43.374,-86.2,Michigan
599254,7589401.0,8a44ee72a447fff,32.548,-85.356,Alabama
599255,7589403.0,8a2ad68de55ffff,35.472,-78.671,North Carolina
599256,7589410.0,8a44d80f6aa7fff,35.204,-81.358,North Carolina
599257,7589412.0,8a44aeb836b7fff,26.881,-80.09,Florida
599258,7589413.0,8a2a84cac027fff,40.931,-79.922,Pennsylvania
599259,7589421.0,8a2a134491a7fff,39.854,-74.852,New Jersey
599260,7589429.0,8a48dcb2546ffff,34.063,-106.905,New Mexico
599261,7589445.0,8a26ed785827fff,36.073,-94.177,Arkansas
599262,7589454.0,8a2a95881c57fff,40.569,-82.358,Ohio
599263,7589463.0,8a444dc086f7fff,32.706,-94.23,Texas
599264,7589482.0,8a44d8594567fff,34.922,-80.8,North Carolina
599265,7589483.0,8a2aaaa466c7fff,38.671,-77.352,Virginia
599266,7589485.0,8a44eea63347fff,32.467,-86.156,Alabama
599267,7589486.0,8a2a9c40b6affff,38.539,-82.657,Ohio
599268,7589514.0,8a26290ec6a7fff,42.469,-92.286,Iowa
599269,7589520.0,8a26cb90179ffff,32.757,-96.678,Texas
599270,7589524.0,8a2641b8b407fff,37.553,-88.358,Illinois
599271,7589532.0,8a274b6c0d6ffff,41.314,-86.28,Indiana
599272,7589554.0,8a44a915b40ffff,28.495,-81.447,Florida
599273,7589556.0,8a264191e377fff,37.995,-88.489,Illinois
599274,7589560.0,8a270b15bb87fff,47.212,-93.519,Minnesota
599275,7589567.0,8a283207574ffff,38.844,-121.162,California
599276,7589581.0,8a264960c367fff,34.577,-87.282,Alabama
599277,7589583.0,8a274b0818cffff,41.716,-86.06,Indiana
599278,7589584.0,8a2663280097fff,39.205,-88.124,Illinois
599279,7589585.0,8a2663d2e337fff,40.092,-88.255,Illinois
599280,7589590.0,8a26caa6cc17fff,32.903,-97.284,Texas
599281,7589603.0,8a29a4030c2ffff,32.773,-117.181,California
599282,7589605.0,8a2aad2e398ffff,38.542,-75.057,Delaware
599283,7589606.0,8a2670a12957fff,40.832,-91.115,Iowa
599284,7589626.0,8a445180dc17fff,31.127,-89.359,Mississippi
599285,7589642.0,8a283009342ffff,38.325,-121.947,California
599286,7589644.0,8a2ad6c6db67fff,35.581,-78.785,North Carolina
599287,7589646.0,8a2ad559988ffff,34.799,-77.427,North Carolina
599288,7589649.0,8a26097722affff,39.988,-94.344,Missouri
599289,7589653.0,8a2b11406d37fff,46.625,-67.955,Maine
599290,7589655.0,8a2a8040ebaffff,39.66,-80.722,West Virginia
599291,7589660.0,8a44cc761277fff,34.714,-84.942,Georgia
599292,7589666.0,8a269c2494d7fff,38.49,-107.86,Colorado
599293,7589667.0,8a2ab3a00c47fff,41.2,-81.444,Ohio
599294,7589669.0,8a44ae95450ffff,26.532,-80.13,Florida
599295,7589679.0,8a2a135862b7fff,40.182,-75.123,Pennsylvania
599296,7589694.0,8a44f1a25b87fff,31.036,-83.169,Georgia
599297,7589716.0,8a2ab314319ffff,41.276,-81.799,Ohio
